epoch,batch,train loss,train accuracy,validation loss,validation accuracy,batch time,name
0,0,0.7971811890602112,0.29575487971305847,0.7886431217193604,0.30872485041618347,0.0,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,25,0.6954894816875458,0.62125,0.6542390584945679,0.666347086429596,1.4506070613861084,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,50,0.6499690389633179,0.67,0.5843879580497742,0.696069061756134,1.433091402053833,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,75,0.5844472432136536,0.705,0.5820212960243225,0.7066155672073364,1.4269373416900635,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,100,0.5881746995449066,0.70125,0.5414103865623474,0.7325024008750916,1.4266648292541504,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,125,0.5594488227367401,0.725,0.5368720889091492,0.7382550239562988,1.4254050254821777,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,150,0.5785395991802216,0.70875,0.5278351902961731,0.7555129528045654,1.4294703006744385,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,175,0.5573618328571319,0.7275,0.5277188420295715,0.7392138242721558,1.4347023963928223,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,200,0.5410438406467438,0.72875,0.5687777996063232,0.7056567668914795,1.4280645847320557,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,225,0.5166968739032746,0.74125,0.5287464261054993,0.743048906326294,1.4285845756530762,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,250,0.5204798984527588,0.7525,0.5071051120758057,0.7593480348587036,1.4262895584106445,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,25,0.4747911703586578,0.76875,0.4944543242454529,0.7737296223640442,1.4389874935150146,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,50,0.49116067051887513,0.76625,0.48723798990249634,0.7785235047340393,1.4301486015319824,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,75,0.48531427145004274,0.77375,0.5107468962669373,0.7631831169128418,1.4350593090057373,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,100,0.5094938480854034,0.7575,0.47502070665359497,0.7881112098693848,1.4284842014312744,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,125,0.4854082268476486,0.76375,0.47684887051582336,0.7612655758857727,1.4351952075958252,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,150,0.4827417874336243,0.7575,0.46134212613105774,0.7900287508964539,1.431119441986084,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,175,0.4631333148479462,0.795,0.47851690649986267,0.7766059637069702,1.432469129562378,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,200,0.464971981048584,0.78,0.4671139419078827,0.7852349281311035,1.4341864585876465,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,225,0.41378536105155944,0.80625,0.481583833694458,0.7766059637069702,1.441469669342041,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,250,0.49191773056983945,0.7825,0.46311071515083313,0.791946291923523,1.4355945587158203,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,25,0.42607738375663756,0.7975,0.4706427752971649,0.7689357995986938,1.4387495517730713,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,50,0.4191263020038605,0.81,0.4872922897338867,0.7718120813369751,1.4338891506195068,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,75,0.4643998408317566,0.7975,0.43888726830482483,0.7967401742935181,1.4317069053649902,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,100,0.44427953362464906,0.8075,0.4843330383300781,0.7861936688423157,1.4320604801177979,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,125,0.43280117511749266,0.79125,0.4620469808578491,0.7967401742935181,1.4441843032836914,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,150,0.40800185561180113,0.81625,0.45392364263534546,0.7957814335823059,1.4337430000305176,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,175,0.4364164155721664,0.80125,0.45373478531837463,0.7909875512123108,1.4461979866027832,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,200,0.44402707397937774,0.79,0.476545125246048,0.7861936688423157,1.4356563091278076,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,225,0.41083225250244143,0.805,0.7060179710388184,0.6433365345001221,1.4303667545318604,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,250,0.47444390535354614,0.77625,0.4522796869277954,0.7881112098693848,1.4360630512237549,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,25,0.35479837357997895,0.85125,0.44453534483909607,0.8063279390335083,1.4337031841278076,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,50,0.4410051655769348,0.7975,0.4476986527442932,0.7957814335823059,1.4327943325042725,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,75,0.4314663690328598,0.80375,0.45894238352775574,0.7938638925552368,1.4305872917175293,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,100,0.4137475335597992,0.81125,0.4669499397277832,0.7852349281311035,1.4420843124389648,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,125,0.39238386511802675,0.8275,0.5275282859802246,0.7526366114616394,1.4480054378509521,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,150,0.39221293568611143,0.835,0.442864328622818,0.8130393028259277,1.4336163997650146,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,175,0.4199329102039337,0.805,0.42991122603416443,0.7929050922393799,1.4346034526824951,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
