epoch,train loss,train accuracy,validation loss,validation accuracy,epoch time,name
0,0.6065476536750793,0.7043620944023132,0.6163332462310791,0.6912751793861389,0.0,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
1,0.5608780980110168,0.7236580848693848,0.602881133556366,0.7056567668914795,22.205124378204346,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
2,0.5469744801521301,0.711027979850769,0.6186267733573914,0.6951102614402771,22.239325761795044,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
3,0.5159609913825989,0.7403812408447266,0.6307862997055054,0.7238734364509583,22.303017139434814,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
4,0.3301190733909607,0.8648111820220947,0.4070713222026825,0.8139981031417847,22.321878671646118,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
5,0.31102651357650757,0.8711262345314026,0.4678071141242981,0.8187919855117798,22.28226661682129,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
6,0.2671477198600769,0.8903052806854248,0.4403258264064789,0.7852349281311035,22.266106605529785,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
7,0.21005438268184662,0.9180213212966919,0.42156824469566345,0.8312560319900513,22.252784967422485,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
8,0.25594547390937805,0.891474723815918,0.5212302207946777,0.7813998460769653,22.299755573272705,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
9,0.13692684471607208,0.950649082660675,0.530067503452301,0.8149568438529968,22.34918737411499,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
10,0.16602076590061188,0.9357970356941223,0.5422600507736206,0.7852349281311035,22.330512046813965,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_adapter_trianglescheduler
