epoch,train loss,train accuracy,validation loss,validation accuracy,epoch time,name
0,0.7971811890602112,0.29575487971305847,0.7886431217193604,0.30872485041618347,0.0,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
1,0.4756027162075043,0.7776868343353271,0.49774169921875,0.769894540309906,22.17877435684204,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
2,0.5080924034118652,0.773125946521759,0.5645638108253479,0.7679769992828369,22.22653102874756,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
3,0.39268001914024353,0.8200210928916931,0.4598648250102997,0.8005752563476562,22.265344381332397,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
4,0.3951769471168518,0.8246988654136658,0.5189141035079956,0.7785235047340393,22.277382612228394,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
5,0.4397047162055969,0.8063384890556335,0.5496017336845398,0.7622243762016296,22.271486043930054,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
6,0.29626011848449707,0.8773243427276611,0.4492771625518799,0.8139981031417847,22.29209542274475,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
7,0.2533418536186218,0.8946322202682495,0.4586663246154785,0.8063279390335083,22.329061031341553,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
8,0.24532419443130493,0.9012981057167053,0.5084970593452454,0.8187919855117798,22.341926097869873,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
9,0.23182278871536255,0.904572606086731,0.47364291548728943,0.8139981031417847,22.352543354034424,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
10,0.23045367002487183,0.9025844931602478,0.5566861033439636,0.797698974609375,22.328821420669556,bert-base-uncased_cola_epochs10_minibatch32_logging25_nesterovlr_lr01
