epoch,train loss,train accuracy,validation loss,validation accuracy,epoch time,name
0,0.7201187610626221,0.3290843367576599,0.7210665941238403,0.3288590610027313,0.0,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
1,0.49036920070648193,0.7544147372245789,0.5079600811004639,0.7603068351745605,22.182360410690308,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
2,0.5208289623260498,0.7585077881813049,0.5681765675544739,0.7468839883804321,22.211797952651978,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
3,0.46340760588645935,0.8044673204421997,0.4988535940647125,0.7746884226799011,22.26379919052124,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
4,0.36391526460647583,0.8395509719848633,0.47497788071632385,0.7737296223640442,22.28858757019043,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
5,0.28041666746139526,0.8855105042457581,0.43327775597572327,0.8053691387176514,22.25592565536499,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
6,0.24276317656040192,0.898959219455719,0.4729676842689514,0.8178331851959229,22.313552618026733,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
7,0.3874594569206238,0.8231785893440247,0.6517284512519836,0.7641419172286987,22.298187732696533,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
8,0.2908768653869629,0.8667992353439331,0.5860331058502197,0.7785235047340393,22.8672616481781,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
9,0.1506558656692505,0.9425798654556274,0.47145792841911316,0.821668267250061,22.373911142349243,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
10,0.1956321895122528,0.9179043769836426,0.6218955516815186,0.8044103384017944,22.35763454437256,bert-base-uncased_cola_epochs10_minibatch32_logging25_fixedlr_lr01_trianglescheduler
